place,Jurisdiction,Age,Females,Males,year
472,Longmont,20-24,2875.0,3026,2016.0
473,Louisville,20-24,542.0,404,2016.0
474,Lyons,20-24,67.0,12,2016.0
475,Mead,20-24,30.0,76,2016.0
476,Morrison,20-24,0.0,0,2016.0
477,Mountain View,20-24,9.0,7,2016.0
478,Nederland,20-24,37.0,75,2016.0
479,Northglenn,20-24,1471.0,1419,2016.0
480,Parker,20-24,1418.0,1450,2016.0
481,Platteville,20-24,79.0,115,2016.0
482,Sheridan,20-24,335.0,352,2016.0
483,Silver Plume,20-24,0.0,5,2016.0
484,Superior,20-24,450.0,411,2016.0
485,Thornton,20-24,4225.0,4303,2016.0
486,Ward,20-24,0.0,1,2016.0
487,Westminster,20-24,3366.0,3545,2016.0
488,Wheat Ridge,20-24,920.0,888,2016.0
489,Weld County (DRCOG),20-24,1259.0,1632,2016.0
490,Region,20-24,109576.0,113259,2016.0
421,Arvada,25-29,3495.0,3239,2016.0
422,Aurora,25-29,13609.0,13589,2016.0
423,Bennett,25-29,67.0,55,2016.0
424,Black Hawk,25-29,12.0,6,2016.0
425,Boulder City,25-29,3995.0,5025,2016.0
426,Adams County,25-29,18420.0,19197,2016.0
427,Arapahoe County,25-29,22901.0,22814,2016.0
428,Boulder County,25-29,9852.0,11803,2016.0
429,Broomfield City/County,25-29,1930.0,2531,2016.0
430,Clear Creek County,25-29,204.0,215,2016.0
431,Denver City/County,25-29,37382.0,37501,2016.0
431,Denver City/County,25-29,37382.0,37501,2016.0
432,Douglas County,25-29,7106.0,6914,2016.0
433,Gilpin County,25-29,158.0,51,2016.0
434,Jefferson County,25-29,18004.0,19923,2016.0
435,Bow Mar,25-29,13.0,19,2016.0
436,Weld County,25-29,9732.0,10117,2016.0
437,Brighton,25-29,1356.0,1283,2016.0
438,Castle Pines,25-29,85.0,63,2016.0
439,Castle Rock,25-29,1448.0,1363,2016.0
440,Centennial,25-29,2895.0,2987,2016.0
441,Central City,25-29,20.0,30,2016.0
442,Cherry Hills Village,25-29,51.0,13,2016.0
443,Columbine Valley,25-29,16.0,12,2016.0
444,Commerce City,25-29,2058.0,1621,2016.0
445,Dacono,25-29,207.0,227,2016.0
446,Deer Trail,25-29,0.0,21,2016.0
447,Edgewater,25-29,438.0,498,2016.0
448,Elizabeth,25-29,54.0,90,2016.0
449,Empire,25-29,5.0,2,2016.0
450,Englewood,25-29,1550.0,1620,2016.0
451,Erie,25-29,425.0,403,2016.0
452,Federal Heights,25-29,283.0,509,2016.0
453,Firestone,25-29,402.0,380,2016.0
454,Fort Lupton,25-29,155.0,230,2016.0
455,Foxfield,25-29,15.0,7,2016.0
456,Frederick,25-29,340.0,350,2016.0
457,Georgetown,25-29,32.0,55,2016.0
458,Glendale,25-29,507.0,642,2016.0
459,Golden,25-29,584.0,1332,2016.0
459,Golden,25-29,584.0,1332,2016.0
460,Greenwood Village,25-29,517.0,433,2016.0
461,Hudson,25-29,33.0,90,2016.0
462,Idaho Springs,25-29,78.0,46,2016.0
463,Jamestown,25-29,14.0,4,2016.0
464,Keenesburg,25-29,52.0,70,2016.0
465,Kiowa,25-29,22.0,46,2016.0
466,Lafayette,25-29,741.0,926,2016.0
467,Lakeside,25-29,0.0,0,2016.0
468,Lakewood,25-29,6037.0,6903,2016.0
469,Larkspur,25-29,7.0,8,2016.0
470,Littleton,25-29,1688.0,1701,2016.0
471,Lone Tree,25-29,454.0,490,2016.0
472,Longmont,25-29,2910.0,3423,2016.0
473,Louisville,25-29,351.0,507,2016.0
474,Lyons,25-29,58.0,133,2016.0
475,Mead,25-29,102.0,76,2016.0
476,Morrison,25-29,8.0,4,2016.0
477,Mountain View,25-29,24.0,22,2016.0
478,Nederland,25-29,44.0,81,2016.0
479,Northglenn,25-29,1825.0,1918,2016.0
480,Parker,25-29,1247.0,1087,2016.0
481,Platteville,25-29,59.0,103,2016.0
482,Sheridan,25-29,175.0,382,2016.0
483,Silver Plume,25-29,7.0,4,2016.0
484,Superior,25-29,530.0,574,2016.0
485,Thornton,25-29,4731.0,5001,2016.0
486,Ward,25-29,0.0,4,2016.0
487,Westminster,25-29,4416.0,4809,2016.0
488,Wheat Ridge,25-29,1300.0,1214,2016.0
489,Weld County (DRCOG),25-29,2095.0,2031,2016.0
490,Region,25-29,126085.0,131512,2016.0
421,Arvada,30-34,3701.0,4222,2016.0
422,Aurora,30-34,13933.0,14191,2016.0
423,Bennett,30-34,56.0,62,2016.0
424,Black Hawk,30-34,4.0,14,2016.0
425,Boulder City,30-34,3363.0,4262,2016.0
426,Adams County,30-34,19343.0,19949,2016.0
427,Arapahoe County,30-34,23129.0,23548,2016.0
428,Boulder County,30-34,9696.0,10105,2016.0
429,Broomfield City/County,30-34,2174.0,2256,2016.0
430,Clear Creek County,30-34,226.0,249,2016.0
431,Denver City/County,30-34,34549.0,36649,2016.0
